796,West Point,GA,Troup County,0.209304,-0.127858323
797,Lanett,AL,Chambers County,0.209418,-0.128047226
804,Lomax,AL,Chilton County,0.182058,-0.128236128
806,Lawley,AL,Bibb County,0.18183,-0.128236128
810,Dadeville,AL,Tallapoosa County,0.206568,-0.129180638
811,Clanton,AL,Chilton County,0.182286,-0.12936954
814,Geiger,AL,Sumter County,0.15219,-0.129558442
815,Brent,AL,Bibb County,0.178866,-0.129558442
818,Scooba,MS,Kemper County,0.151734,-0.129936246
819,Camp Hill,AL,Tallapoosa County,0.201324,-0.129936246
820,Shuqualak,MS,Noxubee County,0.150594,-0.130125148
822,Eutaw,AL,Greene County,0.154926,-0.13031405
827,Boligee,AL,Greene County,0.161538,-0.131069658
828,Sawyerville,AL,Hale County,0.16473,-0.131447462
829,Electric Mills,MS,Kemper County,0.151392,-0.131825266
830,Heiberger,AL,Perry County,0.172824,-0.131825266
836,Stanton,AL,Chilton County,0.174306,-0.132769776
837,Maplesville,AL,Chilton County,0.181944,-0.132958678
839,Cooper,AL,Chilton County,0.186504,-0.13314758
846,Red Hill,AL,Elmore County,0.197562,-0.133525384
848,Sprott,AL,Perry County,0.173166,-0.134280992
850,Valley,AL,Chambers County,0.208506,-0.134469894
851,Verbena,AL,Chilton County,0.18468,-0.134469894
855,Cusseta,AL,Chambers County,0.208506,-0.134847698
856,Mountain Creek,AL,Chilton County,0.184224,-0.134847698
857,Greensboro,AL,Hale County,0.168606,-0.135225502
859,Pletcher,AL,Chilton County,0.184338,-0.135225502
862,Waverly,AL,Chambers County,0.208392,-0.135414404
863,Marion,AL,Perry County,0.172596,-0.135414404
864,Plantersville,AL,Dallas County,0.18354,-0.135414404
865,Whitesville,GA,Harris County,0.212724,-0.135792208
866,Epes,AL,Sumter County,0.158688,-0.135792208
867,Kent,AL,Elmore County,0.194826,-0.13598111
869,Opelika,AL,Lee County,0.21261,-0.136358914
870,Salem,AL,Lee County,0.212838,-0.136358914
871,Auburn,AL,Lee County,0.211014,-0.136358914
874,Forkland,AL,Greene County,0.159372,-0.136736718
875,Deatsville,AL,Elmore County,0.184224,-0.136736718
877,Jones,AL,Autauga County,0.17784,-0.13692562
884,Notasulga,AL,Macon County,0.204744,-0.137492326
888,Fortson,GA,Muscogee County,0.213066,-0.137681228
891,Bleecker,AL,Lee County,0.211926,-0.138059032
892,Speigner,AL,Elmore County,0.18525,-0.138059032
893,Wallsboro,AL,Elmore County,0.1881,-0.138247934
894,Tallassee,AL,Elmore County,0.203376,-0.138247934
898,Smiths Station,AL,Lee County,0.21261,-0.138625738
900,Elmore,AL,Elmore County,0.186276,-0.139192444
902,Wetumpka,AL,Elmore County,0.197676,-0.139570248
903,Coosada,AL,Elmore County,0.194712,-0.139570248
905,Suttle,AL,Perry County,0.174534,-0.139570248
913,Emelle,AL,Sumter County,0.155268,-0.140136954
921,Booth,AL,Autauga County,0.187074,-0.140892562
923,Millbrook,AL,Elmore County,0.187302,-0.141081464
924,Prattville,AL,Autauga County,0.187074,-0.141081464
926,Newbern,AL,Hale County,0.165186,-0.141270366
927,Crawford,AL,Russell County,0.210216,-0.141270366
929,Demopolis,AL,Marengo County,0.165072,-0.141459268
930,Gallion,AL,Hale County,0.165186,-0.141459268
931,Livingston,AL,Sumter County,0.154926,-0.14164817
933,Uniontown,AL,Perry County,0.16758,-0.141837072
934,Society Hill,AL,Macon County,0.206682,-0.142025974
935,Marion Junction,AL,Dallas County,0.172596,-0.142214876
936,Tuskegee,AL,Macon County,0.206796,-0.142214876
941,Burnsville,AL,Dallas County,0.178296,-0.14259268
942,Autaugaville,AL,Autauga County,0.181488,-0.142781582
944,Madison,AL,Montgomery County,0.188556,-0.143159386
945,Hunter,AL,Montgomery County,0.188328,-0.143159386
947,Milstead,AL,Macon County,0.195624,-0.143159386
967,York,AL,Sumter County,0.153444,-0.145237308
968,Shorter,AL,Macon County,0.202122,-0.145237308
977,Montgomery,AL,Montgomery County,0.192888,-0.145992916
978,Cecil,AL,Montgomery County,0.200298,-0.145992916
984,Manack,AL,Lowndes County,0.187644,-0.14637072
986,Dayton,AL,Marengo County,0.160512,-0.146559622
987,Crystal Valley,GA,Muscogee County,0.214434,-0.146559622
988,Pike Road,AL,Montgomery County,0.192888,-0.146559622
992,Hardaway,AL,Macon County,0.198702,-0.146748524
993,Selma,AL,Dallas County,0.175218,-0.146748524
995,Linden,AL,Marengo County,0.160398,-0.146937426
997,Lowndesboro,AL,Lowndes County,0.18981,-0.146937426
1000,Lauderdale,MS,Lauderdale County,0.151278,-0.14731523
1005,Phenix City,AL,Russell County,0.215232,-0.147693034
1006,Thomaston,AL,Marengo County,0.163248,-0.147693034
1007,Myrtlewood,AL,Marengo County,0.162564,-0.147693034
1009,Columbus,GA,Columbia County,0.216372,-0.147693034
1011,Mitchell,AL,Bullock County,0.201438,-0.147881936
1012,White Hall,AL,Lowndes County,0.187644,-0.147881936
1016,Snowdoun,AL,Montgomery County,0.188556,-0.14825974
1018,Fort Mitchell,AL,Russell County,0.215688,-0.14825974
1020,Lilita,AL,Sumter County,0.151278,-0.14825974
1021,Hazen,AL,Dallas County,0.174192,-0.148448642
1023,Fort Davis,AL,Macon County,0.203832,-0.148448642
1025,Safford,AL,Dallas County,0.169518,-0.148448642
1027,Alberta,AL,Wilcox County,0.16416,-0.148637544
1029,Seale,AL,Russell County,0.215802,-0.148826446
1032,Cusseta,GA,Chattahoochee County,0.216486,-0.148826446
1033,Hatchechubbee,AL,Russell County,0.216372,-0.148826446
1034,Hurtsboro,AL,Russell County,0.212382,-0.148826446
1036,Tyler,AL,Dallas County,0.179436,-0.149015348
1042,Sardis,AL,Dallas County,0.175104,-0.149015348
1048,Bellamy,AL,Sumter County,0.156066,-0.14920425
1056,Cuba,AL,Sumter County,0.149454,-0.149393152
1058,Pennington,AL,Choctaw County,0.157092,-0.149582054
1061,Toomsuba,MS,Lauderdale County,0.149226,-0.149582054
1063,Catherine,AL,Wilcox County,0.168606,-0.149770956
1064,Ward,AL,Sumter County,0.151962,-0.149770956
1065,Cromwell,AL,Choctaw County,0.150024,-0.149770956
1067,Pittsview,AL,Russell County,0.209874,-0.149959858
1071,Hayneville,AL,Lowndes County,0.188214,-0.149959858
1083,Marion,MS,Lauderdale County,0.149112,-0.150337662
1084,Peachburg,AL,Bullock County,0.202806,-0.150526564
1086,Louvale,GA,Stewart County,0.215574,-0.150526564
1094,Union Springs,AL,Bullock County,0.203148,-0.15109327
1098,Sprague,AL,Montgomery County,0.19038,-0.151471074
1099,Letohatchee,AL,Lowndes County,0.190266,-0.151659976
1107,Glenville,AL,Russell County,0.214776,-0.15203778
1111,Shopton,AL,Bullock County,0.196536,-0.15203778
1112,Charles,GA,Stewart County,0.215688,-0.152226682
1133,Miller,AL,Marengo County,0.161538,-0.153171192
1142,Pine Level,AL,Montgomery County,0.195738,-0.154115702
1144,Lamison,AL,Wilcox County,0.161196,-0.154115702
1145,Minter,AL,Dallas County,0.179892,-0.154115702
1146,Lisman,AL,Choctaw County,0.153672,-0.154304604
1147,Pope,AL,Marengo County,0.161196,-0.154304604
1149,Ramer,AL,Montgomery County,0.1881,-0.154493506
1151,Calhoun,AL,Lowndes County,0.187758,-0.154682409
1152,Flatwood,AL,Wilcox County,0.169632,-0.154871311
1153,Dixons Mills,AL,Marengo County,0.161196,-0.154871311
1168,Snell,MS,Clarke County,0.14877,-0.156004723
1169,Millers Ferry,AL,Wilcox County,0.166554,-0.156193625
1170,Midway,AL,Bullock County,0.208164,-0.156382527
1172,Butler,AL,Choctaw County,0.156864,-0.156571429
1173,Kimbrough,AL,Wilcox County,0.168834,-0.156571429
1174,Aberfoil,AL,Bullock County,0.207822,-0.156571429
1175,Inverness,AL,Bullock County,0.20235,-0.156760331
1176,Grady,AL,Montgomery County,0.188556,-0.157515939
1177,Orion,AL,Pike County,0.19437,-0.158082645
1178,Camden,AL,Wilcox County,0.167808,-0.158082645
1179,Fort Deposit,AL,Lowndes County,0.18525,-0.158271547
1180,Yellow Bluff,AL,Wilcox County,0.166554,-0.159404959
1181,Mount Andrew,AL,Barbour County,0.20235,-0.159593861
1182,Perote,AL,Bullock County,0.20235,-0.159593861
1183,Linwood,AL,Pike County,0.201324,-0.159593861
1184,Shady Grove,AL,Pike County,0.196764,-0.159593861
1186,Highland Home,AL,Crenshaw County,0.186846,-0.159782763
1187,Comer,AL,Barbour County,0.20463,-0.159782763
1188,Sunny South,AL,Wilcox County,0.165984,-0.159971665
1189,Land,AL,Choctaw County,0.15561,-0.159971665
1190,Campbell,AL,Clarke County,0.156294,-0.160160567
1192,Honoraville,AL,Crenshaw County,0.18753,-0.160727273
1193,Petrey,AL,Crenshaw County,0.18867,-0.161105077
1194,Melvin,AL,Choctaw County,0.15276,-0.161293979
1195,Greenville,AL,Butler County,0.18867,-0.161671783
1196,Batesville,AL,Barbour County,0.206226,-0.161671783
1199,Snow Hill,AL,Wilcox County,0.173394,-0.162238489
